,Date,User,Tweet
0,2022-07-15 23:14:42+00:00,ImAfrahXoXo1,"Just like #RRR getting Re-released across many western countries &amp; also in India,Wish #KGF2 Re-releases in #SriLanka missed it in theatres due to the problem here in SL! #KGFChapter2 
@Prashanth_neel
@hombalefilms
#KGF #encorrre #Aragalaya @TheNameIsYash #SriLankaProtests"
1,2022-07-15 22:46:26+00:00,Che_guevara_in_,"What's happening in Sri Lanka can never happen in India, because Sri - Lankans aren't cowards.

#SriLankaProtests"
2,2022-07-15 22:19:21+00:00,Menasha78,"With all the fuel crisis and transport cost hike, I wonder how people flock and storm president house for nothing #SriLankaCrisis"
3,2022-07-15 21:17:15+00:00,thegrimhope,"BREAKING NEWS: Gotabhaya Rajasinghe will become Secretary of Defense under ""Acting"" president Ranil Wickramapakse! #lka #GoHomeGota2022 #GoHomeRajapaksas #GoHomeRanil2022"
4,2022-07-15 20:52:30+00:00,SisiraMark,"while cursing Gota for the mess we are in please don't forget the biggest culprit of this downfall of the country. that's non other than the former president Mahinda Rajapaksa... 

#lka
#GoHomeRajapaksas 
#GoHomeRanil2022"
5,2022-07-15 20:33:53+00:00,Chandare,"""Who controls the past controls the future.
Who controls the present, controls the past.""
#SriLanka is at the crossroads of her resurgence. Whoever takes over the mantle will get to 'make' history... 🇱🇰
#SriLankaProtests #SriLankaCrisis #1984quotes"
6,2022-07-15 20:32:23+00:00,AmbikaprasadKa3,"Political Parties in India r giving free electricity, water &amp; foodgrains thus making their States bankrupt slowly &amp; this will lead to country bankrupt.
#SriLankaCrisis is example.
SriLankan r suffering now &amp; Indians may suffer latter due to such Leaders.
#stopfreebies
@ECISVEEP"
7,2022-07-15 20:07:44+00:00,LionelGunatille,"🤔Dilemma of @RW_UNP legitimacy: 1 seat National list MP, made PM to tackle #SriLankaCrisis by the Pres with the support of the SLPP that has majority in @ParliamentLK
So, while the people didn't vote for him,the President and MPs they did vote for to represent them, chose him🤦‍♂️"
8,2022-07-15 19:33:05+00:00,Adinkira1,"If Nigeria continues in the hands of men like Buhari, Atiku or Tinubu.
We would be on a fast track to Aso rock just like the people of Sri Lankan. 
May we get it right and vote the most qualified for the job.
#SriLankaProtests #nigeria"
9,2022-07-15 19:12:04+00:00,tamil_butterfly,"Some chameleons have changed from party to party to government and now they are disappearing with the people 
#BRAKINGNEWS #GoHomeRania #PresidentialElections2022 #GoHome225 #GoHomeGota #aragalaya    #lka #අරගලයටජය  #SriLankaCrisis #SriLankaProtests  #SriLankaToday #SrilankaNews"
10,2022-07-15 19:04:39+00:00,MoCooray,"📣Poll: Should #SriLanka🇱🇰 assemble an independent Central Intelligence Unit (CIU) for economic recovery?

#SriLankaCrisis @CBSL @SLMAonline"
11,2022-07-15 18:52:01+00:00,Remyantho,"🇬🇧 UK: Boris Johnson resigns
🇮🇹 Italy: Mario Draghi offers resignation
🇱🇰 Sri Lanka: President Gotabaya Rajapaksa resigns 
🇳🇱 Netherlands: Dutch farmers protest 
🇩🇪 Germany: Gas supply crisis
🇺🇸 USA: Diesel supply crisis 

#SriLankaProtests #SriLankaCrisis #SriLanka #World"
12,2022-07-15 18:40:37+00:00,RuhamAhmed25,"Just thought where ""sir"" must be now. Let him go home now. Anyone knows Gotas whereabouts??
#GoHomeGota
#GoHomeRanil"
