,Date,User,Tweet
0,2022-08-15 18:24:59+00:00,SriLankanBuzz,"Today's Trending #Tags 15-8-2022. 1/5
       1. #SriLankaCrisis
       2. #India
       3. #News1st
       4. #EconomicCrisisLK
       5. #IndiaAt75
       6. #Hambantota
       7. #SriLankaEconomicCrisis"
1,2022-08-15 13:57:56+00:00,Rasiya_Twitz,"Ratings agency S&amp;P Global on Monday (15) slashed its rating on Sri Lankan bonds to 'D', representing default, following missed interest and principal payments - Reuters / Newsfirst

#lka #SriLanka #SLnews #SriLankaCrisis"
2,2022-08-15 13:15:43+00:00,finityfund,"Global ratings agency S&amp;P Global slashed its rating on Sri Lankan bonds to 'D', representing default, following missed interest and principal payments - Foreign Media #SriLankaEconomicCrisis"
3,2022-08-15 12:53:30+00:00,HakimUsoof,"With 5 days work for public sector, 5 days school now I guess the real economic hardship will start hitting home, then the “අරගලය අල වෙච්ච” types will start coming back #ApiAragale #Aragalaya #GoHomeRanil #GoHomeRajapaksas #අරගලය #අපිඅරගලේ #SriLankaProtests #SriLanka #lka"
4,2022-08-15 12:41:36+00:00,PrabodOfficial,"Global ratings agency S&amp;P Global slashed its rating on SL bonds to 'D', representing default, following missed interest &amp; principal payments. S&amp;P said it did not expect SL to make the bond payments within 30 calendar days after their due dates
#lka #SriLankaCrisis"
5,2022-08-15 12:41:16+00:00,PrabodOfficial,"Three suspects arrested in Kandy by the CID over the arson attack on Minister Keheliya Rambukwella's Kandy House on 09th May
#lka #SriLankaCrisis"
6,2022-08-15 12:40:32+00:00,PrabodOfficial,"The Parliamentary Committee on High Posts has approved the appointment of Admiral (Prof) Jayanath Colombage as the new Ambassador of Sri Lanka to the Republic of Indonesia and five Secretaries to Ministries.
#lka #SriLankaCrisis"
7,2022-08-15 11:39:46+00:00,Odin0667,"Happy Independence Day to our historic neighbor India 🇮🇳❤

thanks for the support given to us in the face of serious economic crisis sri lanka. 
#HappyIndependenceDay
#IndiaAt75   
#SriLankaEconomicCrisis"
8,2022-08-15 09:47:40+00:00,Vidiyallk,3 hours #PowerCutLK from 16th -19th August; 1 hour and 40minutes during daytime &amp; 1 hour and 20minutes during night - PUCSL #lka #SriLanka #SriLankaCrisis
9,2022-08-15 09:43:29+00:00,adhil221,"Narendra Modi plans India to be a developed nation by the year 2047 after being a major player in the Asian region, @RW_UNP mentioning the same with the state we are in isn't shameful!  Hopefully we Sri Lankans will do it before 2047 :) #IndiaAt75 #SriLankaCrisis #developednation"
10,2022-08-15 09:14:02+00:00,Economynext,"Sri Lanka's fuel price revision is to take place, do you think fuel prices will be increased or decreased?

#SriLanka #EconomicCrisisLK #FuelCrisisLK #SLNews #LKA"
11,2022-08-15 07:46:24+00:00,PrabodOfficial,"Dhaniz Ali, who was arrested and subsequently remanded for forcibly entering the Sri Lanka Rupavahini Corporation premises on the 13th of July, has been granted bail by the Colombo Chief Magistrate. 
#lka #SriLankaCrisis"
12,2022-08-15 07:46:01+00:00,PrabodOfficial,"Today's power disruption will remain at 1 hour and 20 minutes and will be extended from tomorrow (16) due to a minor breakdown of the first generator of the Norochcholai Coal Power Plant. The repair is expected to take 14 to 16 days.
#lka #SriLankaCrisis"
13,2022-08-15 07:45:41+00:00,PrabodOfficial,"Minister @kanchana_wij says a breakdown in the Unit 1 of the Norochcholai Power Plant has been reported &amp; the technical staff are working to identify the fault. Only Unit 3 is functioning at present since the Unit 2 is undergoing scheduled maintenance work. 
#lka #SriLankaCrisis"
14,2022-08-15 07:30:02+00:00,ChathurangaHapu,"As #India celebrates her #IndependenceDay let's thank her for her support to us. #SriLankaEconomicCrisis 
🇮🇳🇱🇰

1. Concessional loan of $800mn for food medicines &amp; essential commodities. 

#IndiaAt75 @IndiainSL #SriLankaCrisis #SriLanka #lka 
(1/3)"
15,2022-08-15 06:54:33+00:00,RizwanStWEET,"Dhaniz Ali granted bail by Colombo Chief Magistrate's Court over the incident of forcibly entering Sri Lanka Rupavahini Corporation on July 13

#SriLankaCrisis #ProtestLK #SriLanka #LKA #SL"
16,2022-08-15 05:42:27+00:00,UlfathUwais,Fuel price revision likely today. Along with it a tiny bit of quota increase would be fairytale mid month bonanza! #SriLanka #fuelcrisislk
17,2022-08-15 05:40:40+00:00,finityfund,"The suspended Terminal II project at the Bandaranaike International Airport (BIA) will be recommenced by the same contractor after Sri Lanka successfully restructures its debt, according to the Airport and Aviation Services Sri Lanka (AASL). #SriLankaEconomicCrisis"
18,2022-08-15 05:39:21+00:00,tmendis,"Reliable source says: 🇱🇰 It will not be the government of all parties, but the government of all parties💃🥳🎉. The recruiting process has already begun.

#SriLankan #SriLankaEconomicCrisis #lka"
19,2022-08-15 00:47:21+00:00,Pramu79,"Sri Lankans, food for thoughts: A depositor, demanding the legitimate release of part of his own funds frozen by the bank, to pay for a family medical emergency, walking in with a rifle and threatening to kill everyone and torch the bank.#SriLankaEconomicCrisis"
20,2022-08-14 21:24:25+00:00,melvinroyce,Lifting the ban for the Tamil organizations by the Srilanka Government is absurd. Release the political prisoners and have an International inquiry for Genocide against Tamils. If anyone say its a welcome news. I will go banana. #Tamilgenocide #SriLankaEconomicCrisis is man made.
21,2022-08-14 14:49:50+00:00,MarketNewsLK,"Sir, @RW_UNP, you compromised the forming of a multi-party govt by hunting down on Aragalaya activists, when it was not necessary, when it was not the priority

Priority was consensus, &amp; bridging finance

You have failed on your first task

#SriLanka #SriLankaCrisis"
22,2022-08-14 11:20:33+00:00,melakrish,"Just got home from the supermarket and I'm feeling extremely depressed. Everything is so expensive and half the items are not available. I can't even imaging how low income families are surviving 😣

#SriLankaEconomicCrisis #srilanka"
23,2022-08-14 08:43:51+00:00,PrabodOfficial,"The Consumer Affairs Authority is set to conduct island wide raids to inquire into whether consumers are granted the benefit of reduced prices of imported essential food items. Raids will be carried out at supermarkets and retail stores.
#lka #SriLankaCrisis"
24,2022-08-14 08:43:30+00:00,PrabodOfficial,"PUCSL approved power cuts of 1 hour and 20 minutes for 15th &amp; 16th August as follows
Groups ABCDEFGHIJKLPQRSTUVW  - 1hour and 20 minutes from 5.00pm to 9.00pm - PUCSL
#lka #SriLankaCrisis"
25,2022-08-14 06:54:59+00:00,realsujanroy,"We are literally draining our dollar to save Sri Lanka to get recover from ongoing economic crisis and we do continue it further to help Sri Lanka in this tough situation. But what did we get in return? 1/4 
#SriLanka 
#SriLankaCrisis 
#ChinaGlobalThreat"
26,2022-08-14 06:22:34+00:00,idkmanwhatver7,"What #SriLankan  people need to realize now and never forget, is that the #Police  and Military is NEVER your ""heroes"" they just do whatever the government tells them without objection. Kinda like the Gestapo. #GotaGoGama #gotagohome"
27,2022-08-14 04:45:11+00:00,PrabodOfficial,"The Sri Lankan Government has decided to lift the ban imposed on six International Tamil Organizations
The Defence Ministry said that an amendment was made to the List of Designated Persons under Regulation 4(7) of the United Nations Regulations No. 1 of 2012
#lka #SriLankaCrisis"
28,2022-08-14 04:38:53+00:00,Economynext,"Government Institutes, Organizations &amp; Businesses can now register multiple vehicles under one mobile number or multiple mobile numbers under one Business Registration Number (BRN), said Power and Energy Minister, @kanchana_wij. 

#SriLanka #SLNews #LKA #FuelCrisisLK #QRCode"
29,2022-08-14 04:33:06+00:00,MysteryLankan,"Dear Minister @kanchana_wij, any plans in the future to increase the fuel quota?
#FuelCrisisLK"
30,2022-08-14 04:31:49+00:00,imjeganG,"Sapugaskanda Oil Refinery will resume operations next week : Ministry of Power and Energy 
#Lka #SriLanka #FuelCrisisLK"
31,2022-08-14 04:14:34+00:00,Ashfark_Ahamed,An entry level smartphone has become 40k and it's impossible to find a new one. A flagship has become 7 to 8 lakh and impossible to afford. Second hand market is exploiting without price control. Phone companies are leaving the country 😑 #SriLankaCrisis
32,2022-08-14 03:22:18+00:00,SharminiDNS,"What exactly does ""System Change"" mean? Is it a JVP - SFP government? 

#SriLanka #lka #SriLankaProtests"
33,2022-08-14 01:49:35+00:00,PrabodOfficial,"The government is mulling summoning state employees to work over all five working days as a significant increase has been witnessed in individuals visiting offices seeking services. With the fuel shortage the number of employees reporting to work was limited.
#lka #SriLankaCrisis"
34,2022-08-13 18:49:07+00:00,finityfund,Chinese ballistic missile and satellite tracking ship - Yaun Wang 5 - given clearance to enter Hambantota Port from 16th to 22nd of August - Foreign Ministry #SriLankaEconomicCrisis #ChineseSpyShip
35,2022-08-13 18:30:03+00:00,TrendingLK,"Yesterday hot topics:
#SriLanka (17.16%)
#lka (11.25%)
#news (5.1%)
#SLnews (4.52%)
#SLCT20League (3.82%)
#adaderanasinhala (3.48%)
#News1st (3.01%)
#SriLankaCrisis (2.43%)
#EconomicCrisisLK (2.2%)
#Lankadeepa (1.62%)"
36,2022-08-13 18:24:59+00:00,SriLankanBuzz,"Today's Trending #Tags 13-8-2022. 1/5
       1. #India
       2. #SriLankaProtests
       3. #China
       4. #SriLankaCrisis
       5. #Chinese
       6. #News1st
       7. #Hambantota"
37,2022-08-13 18:20:51+00:00,YATHIyesudas,If the @iprdkerala keeps spending more money for projects like K-rail it will cause unnecessary damage to our state and make our debts higher and might even make our state like Sri Lanka. #SriLankaProtests #government
38,2022-08-13 17:19:55+00:00,msvithushan,"freshness &amp; stiffness of LKR notes explains it all.😅

#SriLankaCrisis #lka"
