,Date,User,Tweet
0,2022-07-01 23:50:43+00:00,chamikavi,"I wonder if you can apply for the Guinness book of world records for the longest fuel queue?
#GuinnessWorldRecord #SriLankaCrisis #ArrestRajapaksas"
1,2022-07-01 22:33:20+00:00,yxngkardy,"Everyday I see something new about Sri Lanka and it's so upsetting.
What's happening to my home
 #SriLanka #SriLankaEconomicCrisis"
2,2022-07-01 20:53:14+00:00,Hemzter1,Hard times will reveal new perspectives #hopeful #SriLankaCrisis
3,2022-07-01 20:20:46+00:00,nilanthan_7,"The hell with #LECO, sudden #Powercut at this time! #SriLankan people can't even have good sleep even after a busy day at office! #SriLankaCrisis #powercut #FuelCrisisLK #FuelShortage"
4,2022-07-01 18:15:45+00:00,Sendhu92,"No entity should give loans to #SriLanka without a representative of that nation managing the funds. Absolutely no faith that the loans will be used for the intended purpose by this current government. 
@IMFNews @GotabayaR 
#failedpresident #GotaGoHome"
5,2022-07-01 18:06:46+00:00,Nilasi_J,"I'm sorry, but
JUST RESIGN already. 💔😭

#LK #SriLankaEconomicCrisis #අරගලයටජය #GotaGoHome"
6,2022-07-01 18:03:44+00:00,Nilasi_J,"How do you hold together a life that you never even had the pieces of in the first place? That's how it feels like to Grow up in Sri Lanka.😭

#LK #SriLankaCrisis"
7,2022-07-01 17:28:51+00:00,AbdulMedellinn,We need to go for solutions for our problems than chasing behind problems ig  #SriLankaCrisis #FuelCrisisLK
8,2022-07-01 17:17:29+00:00,vickeysaxon,"I'm being told some supermarkets @Tesco @asda are refusing heinz products due to price increase, please take a look at fuel distributers profiteering at the pump , hypocrisy at its most definitive #FuelCrisisLK #FuelPrices #ukincrisis"
9,2022-07-01 17:11:46+00:00,yasumilw,"Go home President Rajapaksha! 😶😶😶 
Please give us our country back! We are fed-up of your curse 

#GoHomeGota2022 #EconomicCrisisLK #ArrestRajapaksas #SriLankaCrisis"
10,2022-07-01 16:31:36+00:00,faizalmf84,"The people who survived with ThreeWheel hire now they running small petrol sheds, this what we call development. #FuelCrisisLK #GoHomeGota2022 #SriLankaCrisis"
11,2022-07-01 15:50:20+00:00,jayanth000,Mark my words. As last nail to the coffin this government will sign the MCC too :) #SriLankaEconomicCrisis #lka #ProtestLK
12,2022-07-01 15:36:41+00:00,curdriceboi,All new bicycle owners should have a airtag placed/glued under their saddles. You never know when it'll become handy. #lka #SriLankaCrisis
13,2022-07-01 15:31:20+00:00,lankamail,No more Colombo Kandy or Anuradhapura in the news. Now days 24*7 Qatar UAE Kuwait and Saudi Arabia. In short Muslim countries in the News. #SriLankaCrisis #srilankanpoliticalcrisis
14,2022-07-01 15:24:05+00:00,KPathirage,"Inflation in this month is 55%
Welcome to a nation with hyperinflation.
If you still don't understand the weight of the matter please google other countries with hyperinflation 😑

#GoHomeGota2022 
#gohomerajapaksas"
15,2022-07-01 15:19:48+00:00,KavishkaSurawee,"How are you guys nowadays?
#GotaGoHome
#SriLanka #SriLankaProtests #SriLankaCrisis"
16,2022-07-01 15:14:28+00:00,sandxru,Today someone has asked to buy my bicycle for 40K which I bought for around 3000 - 5000 Rupees when I was at grade 5 with my own savings. That’s a freaking 900% return within 11 years. 🤦🏻‍♂️ #SriLankaCrisis #lka
17,2022-07-01 15:06:10+00:00,NadhiraNazar,Living is expensive. #lka #SriLankaCrisis  #SriLanka
18,2022-07-01 15:03:09+00:00,lancekmuller,"Investment and Promotion 101 #LKA version. Start issuing passports for migrant workers to leave the country, bust their asses and send foreign exchange for these buggers to continue their lavish life.
#SriLankaEconomicCrisis"
19,2022-07-01 15:01:43+00:00,LionelGunatille,"🤔 I get that @adaderana supported the #Rajapaksas by painting a rosy picture of anything and everything. But who does @Dailymirror_SL support by spreading unverified Doom and Gloom of #SriLankaCrisis and then having to retract them?
#GoHomeRajapaksas
#SriLankaEconomicCrisis"
20,2022-07-01 14:58:21+00:00,UsamaUnais,"Only if @PickMeLK had gone for an IPO immediately after the quarantine peak. At the moment they are literally dead due to the #FuelCrisisLK
Missed opportunity!"
21,2022-07-01 14:55:26+00:00,_Uddeepana,People who are new to traveling in buses should understand that you can’t have the same comforts of a personal vehicle. It’s tough and very uncomfortable but you have to push through and help each other out. Don’t be egotistical prick. #SriLankaEconomicCrisis #SriLanka
22,2022-07-01 14:43:40+00:00,paulmnav,"Sri lanka can solve its forex crisis by sending all ministers to work in Qatar for next 6 months @kanchana_wij @RajapaksaNamal @GotabayaR @RW_UNP 
#SriLankaEconomicCrisis #GotaGoHome2022 #SriLanka"
23,2022-07-01 14:40:37+00:00,tamil_butterfly,"Slavery must be abolished, brotherhood and equality must be maintained ...
#lka #SriLankaEconomicCrisis"
24,2022-07-01 14:12:55+00:00,TweeToAshwin,"So called Heros, Kings and Idols become puppets in SL. This never ending mistakes were done by the civilians. They are responsible for electing the Rasicm biggies. Don't expect that existing heads will save the nation. And LTTE

See more....

#SriLankaCrisis #GotaGoHome"
25,2022-07-01 13:56:20+00:00,finityfund,"#Travel #SriLanka : Airliners asked to bring fuel for their return flight when flying to Sri Lanka.

#SriLankaEconomicCrisis #SoSrilanka"
26,2022-07-01 13:55:14+00:00,_AraRasool,"Sending prayers to everyone who worked hard to build what they have today. Sending prayers to everyone who are watching it all slowly fall apart today. Sending prayers to everyone who are worried, scared, and holding back the tears with a weak smile today. #lka #GoHomeGota"
27,2022-07-01 13:49:52+00:00,nuuuwan,"The only thing worse than fuel queues,
is no fuel queues...

#SriLanka #FuelCrisisLK"
28,2022-07-01 13:42:41+00:00,EnHui,"People do not live by bread alone, but by every word that comes from the #neoliberals ' mouth to default on debt, dismantle the public good, maximise private profits and make democracy as only an imagination.
#SriLankaEconomicCrisis #EconomicCrisislka"
29,2022-07-01 13:38:31+00:00,mubashiding,"Everyone wanting to emigrate and here I am urging to return!
#SriLanka
#SriLankaCrisis"
30,2022-07-01 13:29:46+00:00,UWickremasinghe,"Sri Lanka is already in a Hyper Inflation. The inflation rate for month of June is 54.6% 
#GoHomeRajapakshas 
#GoHomeGota 
#Crisis"
31,2022-07-01 13:22:23+00:00,NBomb10_cool,"Rest in Peace technoblade. 
I wish my damn country wasn’t in a economic crisis so I could buy. Technoblades mercy to support the cancer fundraiser 
#technobladeneverdies #GotaGoHome"
32,2022-07-01 13:22:06+00:00,SriLanka_lka,"Strike initiated by railway trade unions called off.

 - Sri Lanka  Railways 

#lka #SriLankaCrisis"
