,Unnamed: 0,Date,User,Tweet,Updated_Tweet,Sentiment,Score
0,0,2022-07-15 23:14:42+00:00,ImAfrahXoXo1,"Just like #RRR getting Re-released across many western countries &amp; also in India,Wish #KGF2 Re-releases in #SriLanka missed it in theatres due to the problem here in SL! #KGFChapter2 
@Prashanth_neel
@hombalefilms
#KGF #encorrre #Aragalaya @TheNameIsYash #SriLankaProtests",Just like RRR getting Re released across many western countries amp also in India Wish KGF2 Re releases in SriLanka missed it in theatres due to the problem here in SL KGFChapter2 Prashanth_neel hombalefilms KGF encorrre Aragalaya TheNameIsYash SriLankaProtests,NEGATIVE,0.9995595812797546
1,1,2022-07-15 22:46:26+00:00,Che_guevara_in_,"What's happening in Sri Lanka can never happen in India, because Sri - Lankans aren't cowards.

#SriLankaProtests",What s happening in Sri Lanka can never happen in India because Sri Lankans aren t cowards SriLankaProtests,POSITIVE,0.9812275767326355
2,2,2022-07-15 22:19:21+00:00,Menasha78,"With all the fuel crisis and transport cost hike, I wonder how people flock and storm president house for nothing #SriLankaCrisis",With all the fuel crisis and transport cost hike I wonder how people flock and storm president house for nothing SriLankaCrisis,NEGATIVE,0.9645928740501404
3,3,2022-07-15 21:17:15+00:00,thegrimhope,"BREAKING NEWS: Gotabhaya Rajasinghe will become Secretary of Defense under ""Acting"" president Ranil Wickramapakse! #lka #GoHomeGota2022 #GoHomeRajapaksas #GoHomeRanil2022",BREAKING NEWS Gotabhaya Rajasinghe will become Secretary of Defense under Acting president Ranil Wickramapakse lka GoHomeGota2022 GoHomeRajapaksas GoHomeRanil2022,POSITIVE,0.9961642026901245
4,4,2022-07-15 20:52:30+00:00,SisiraMark,"while cursing Gota for the mess we are in please don't forget the biggest culprit of this downfall of the country. that's non other than the former president Mahinda Rajapaksa... 

#lka
#GoHomeRajapaksas 
#GoHomeRanil2022",while cursing Gota for the mess we are in please don t forget the biggest culprit of this downfall of the country that s non other than the former president Mahinda Rajapaksa lka GoHomeRajapaksas GoHomeRanil2022,NEGATIVE,0.9624253511428833
5,5,2022-07-15 20:33:53+00:00,Chandare,"""Who controls the past controls the future.
Who controls the present, controls the past.""
#SriLanka is at the crossroads of her resurgence. Whoever takes over the mantle will get to 'make' history... 🇱🇰
#SriLankaProtests #SriLankaCrisis #1984quotes",Who controls the past controls the future Who controls the present controls the past SriLanka is at the crossroads of her resurgence Whoever takes over the mantle will get to make history SriLankaProtests SriLankaCrisis 1984quotes,NEGATIVE,0.8091574311256409
6,6,2022-07-15 20:32:23+00:00,AmbikaprasadKa3,"Political Parties in India r giving free electricity, water &amp; foodgrains thus making their States bankrupt slowly &amp; this will lead to country bankrupt.
#SriLankaCrisis is example.
SriLankan r suffering now &amp; Indians may suffer latter due to such Leaders.
#stopfreebies
@ECISVEEP",Political Parties in India r giving free electricity water amp foodgrains thus making their States bankrupt slowly amp this will lead to country bankrupt SriLankaCrisis is example SriLankan r suffering now amp Indians may suffer latter due to such Leaders stopfreebies ECISVEEP,NEGATIVE,0.999543309211731
7,7,2022-07-15 20:07:44+00:00,LionelGunatille,"🤔Dilemma of @RW_UNP legitimacy: 1 seat National list MP, made PM to tackle #SriLankaCrisis by the Pres with the support of the SLPP that has majority in @ParliamentLK
So, while the people didn't vote for him,the President and MPs they did vote for to represent them, chose him🤦‍♂️",Dilemma of RW_UNP legitimacy 1 seat National list MP made PM to tackle SriLankaCrisis by the Pres with the support of the SLPP that has majority in ParliamentLK So while the people didn t vote for him the President and MPs they did vote for to represent them chose him,NEGATIVE,0.9097768068313599
8,8,2022-07-15 19:33:05+00:00,Adinkira1,"If Nigeria continues in the hands of men like Buhari, Atiku or Tinubu.
We would be on a fast track to Aso rock just like the people of Sri Lankan. 
May we get it right and vote the most qualified for the job.
#SriLankaProtests #nigeria",If Nigeria continues in the hands of men like Buhari Atiku or Tinubu We would be on a fast track to Aso rock just like the people of Sri Lankan May we get it right and vote the most qualified for the job SriLankaProtests nigeria,POSITIVE,0.8806727528572083
9,9,2022-07-15 19:12:04+00:00,tamil_butterfly,"Some chameleons have changed from party to party to government and now they are disappearing with the people 
#BRAKINGNEWS #GoHomeRania #PresidentialElections2022 #GoHome225 #GoHomeGota #aragalaya    #lka #අරගලයටජය  #SriLankaCrisis #SriLankaProtests  #SriLankaToday #SrilankaNews",Some chameleons have changed from party to party to government and now they are disappearing with the people BRAKINGNEWS GoHomeRania PresidentialElections2022 GoHome225 GoHomeGota aragalaya lka අරගලයටජය SriLankaCrisis SriLankaProtests SriLankaToday SrilankaNews,NEGATIVE,0.9981607794761658
10,10,2022-07-15 19:04:39+00:00,MoCooray,"📣Poll: Should #SriLanka🇱🇰 assemble an independent Central Intelligence Unit (CIU) for economic recovery?

#SriLankaCrisis @CBSL @SLMAonline",Poll Should SriLanka assemble an independent Central Intelligence Unit CIU for economic recovery SriLankaCrisis CBSL SLMAonline,NEGATIVE,0.9968279004096985
11,11,2022-07-15 18:52:01+00:00,Remyantho,"🇬🇧 UK: Boris Johnson resigns
🇮🇹 Italy: Mario Draghi offers resignation
🇱🇰 Sri Lanka: President Gotabaya Rajapaksa resigns 
🇳🇱 Netherlands: Dutch farmers protest 
🇩🇪 Germany: Gas supply crisis
🇺🇸 USA: Diesel supply crisis 

#SriLankaProtests #SriLankaCrisis #SriLanka #World",UK Boris Johnson resigns Italy Mario Draghi offers resignation Sri Lanka President Gotabaya Rajapaksa resigns Netherlands Dutch farmers protest Germany Gas supply crisis USA Diesel supply crisis SriLankaProtests SriLankaCrisis SriLanka World,NEGATIVE,0.9916309714317322
12,12,2022-07-15 18:40:37+00:00,RuhamAhmed25,"Just thought where ""sir"" must be now. Let him go home now. Anyone knows Gotas whereabouts??
#GoHomeGota
#GoHomeRanil",Just thought where sir must be now Let him go home now Anyone knows Gotas whereabouts GoHomeGota GoHomeRanil,NEGATIVE,0.9984586238861084
13,13,2022-07-15 18:30:49+00:00,TrendingLK,"Yesterday hot topics:
#SriLanka (18.76%)
#lka (12.64%)
#SLnews (4.37%)
#SriLankaCrisis (2.91%)
#SriLankaProtests (2.91%)
#Lankadeepa (2.68%)
#news (2.44%)
#adaderanasinhala (1.92%)
#EconomicCrisisLK (1.63%)
#srilankadollarchallenge (1.63%)",Yesterday hot topics SriLanka 18 76 lka 12 64 SLnews 4 37 SriLankaCrisis 2 91 SriLankaProtests 2 91 Lankadeepa 2 68 news 2 44 adaderanasinhala 1 92 EconomicCrisisLK 1 63 srilankadollarchallenge 1 63,NEGATIVE,0.9010955691337585
14,14,2022-07-15 18:29:17+00:00,MoCooray,"📣Poll: Could #SriLanka🇱🇰 leverage an emerging medical cannabis industry and digital currency to bridge finance to economic recovery?

#SriLankaCrisis @CBSL @SLMAonline",Poll Could SriLanka leverage an emerging medical cannabis industry and digital currency to bridge finance to economic recovery SriLankaCrisis CBSL SLMAonline,NEGATIVE,0.9937348961830139
15,15,2022-07-15 18:29:13+00:00,SAMEEHAHMED12,"Happy Independence Day 🎈
Sri Lanka 😌
2022.07.15

#Letsrebuild #nation #GotaGoHome #GotaWentHome #GotaGoGama",Happy Independence Day Sri Lanka 2022 07 15 Letsrebuild nation GotaGoHome GotaWentHome GotaGoGama,POSITIVE,0.9871501922607422
16,16,2022-07-15 18:17:08+00:00,MoCooray,"📣Poll: Should #SriLanka🇱🇰 consider a digital currency as a means to recruit foreign investments? 

#SriLankaCrisis @CBSL",Poll Should SriLanka consider a digital currency as a means to recruit foreign investments SriLankaCrisis CBSL,NEGATIVE,0.9939714074134827
17,17,2022-07-15 18:14:43+00:00,MoCooray,"📣Poll: Should #SriLanka🇱🇰 consider a legal medical cannabis industry (export) as a means to recruit foreign investments? 

#SriLankaCrisis @SLMAonline",Poll Should SriLanka consider a legal medical cannabis industry export as a means to recruit foreign investments SriLankaCrisis SLMAonline,NEGATIVE,0.9922186136245728
18,18,2022-07-15 18:10:06+00:00,sgprabuofficial,"Who will be the NEXT President 🇱🇰
#TwitterPoll #LKA #SriLanka #SriLankaProtests #Aragalaya",Who will be the NEXT President TwitterPoll LKA SriLanka SriLankaProtests Aragalaya,NEGATIVE,0.8429853320121765
19,19,2022-07-15 18:09:21+00:00,kesariya1809,"#SriLankaProtests *Sri Lanka , The first country to achieve Zero Carbon emissions……..*
*No Oil , No gas , No Electricity

😂😜😂😜😂😜😂😜",SriLankaProtests Sri Lanka The first country to achieve Zero Carbon emissions No Oil No gas No Electricity,POSITIVE,0.9137772917747498
20,20,2022-07-15 18:09:10+00:00,SharminiDNS,"#Aragalaya did great in sending the Rajapaksas home. Now time to back down with credibility intact!
#SriLankaProtests",Aragalaya did great in sending the Rajapaksas home Now time to back down with credibility intact SriLankaProtests,POSITIVE,0.9994906187057495
21,21,2022-07-15 17:52:41+00:00,horapoosa,Looks like Ranil is set to complete Gota’s term as president now that parliament majority SLPP/FP has thrown their support behind him. Y not just call a general election now? #SriLanka is truly done for #SriLankaProtests #lka,Looks like Ranil is set to complete Gota s term as president now that parliament majority SLPP FP has thrown their support behind him Y not just call a general election now SriLanka is truly done for SriLankaProtests lka,NEGATIVE,0.9791814088821411
22,22,2022-07-15 17:51:38+00:00,Nish2177,"Now, don't dream big, if you could get some petrol, it would be enough 😔😓 
.
.
.
#MONEY #SriLankaProtests #SriLankaCrisis",Now don t dream big if you could get some petrol it would be enough MONEY SriLankaProtests SriLankaCrisis,NEGATIVE,0.9980910420417786
23,23,2022-07-15 17:49:45+00:00,THILINA_SAND,"Who should be elected as the next president in the parliament?.🇱🇰                           If not one of these is please mentioned below.This is just a observation of how public opinion is.#lka #SlPresidency #GoHomeGota
@RW_UNP
@sajithpremadasa
@DullasOfficial
@anuradisanayake",Who should be elected as the next president in the parliament If not one of these is please mentioned below This is just a observation of how public opinion is lka SlPresidency GoHomeGota RW_UNP sajithpremadasa DullasOfficial anuradisanayake,NEGATIVE,0.996268630027771
24,24,2022-07-15 17:43:19+00:00,arethusacader,"#SriLankaProtests Whilst the political situation is a mess, people continue to stand in queues and are struggling buying food at affordable prices. This is the immediate need. The initial proposal to have a temporary President and Cabinet until an election has been overlooked?",SriLankaProtests Whilst the political situation is a mess people continue to stand in queues and are struggling buying food at affordable prices This is the immediate need The initial proposal to have a temporary President and Cabinet until an election has been overlooked,NEGATIVE,0.9931214451789856
25,25,2022-07-15 17:36:51+00:00,nuzlarizkiya,"As of now @ParliamentLK MP's
1. Dullas Alahapperuma 
2. Sajith Premadsa 
have announced that they intend to contest for the post of #SriLanka President following resignation of @GotabayaR 
#SriLankaCrisis #SriLankaProtests",As of now ParliamentLK MP s 1 Dullas Alahapperuma 2 Sajith Premadsa have announced that they intend to contest for the post of SriLanka President following resignation of GotabayaR SriLankaCrisis SriLankaProtests,NEGATIVE,0.9712494611740112
26,26,2022-07-15 17:36:02+00:00,shannine_daniel,"Opposition Leader Sajith Premadasa says he will contest for President (News First) 

#GoHomeGota2022 
#SriLankaCrisis",Opposition Leader Sajith Premadasa says he will contest for President News First GoHomeGota2022 SriLankaCrisis,NEGATIVE,0.5139349102973938
27,27,2022-07-15 17:28:04+00:00,shreerajgudi,Thank you @talk1003uae for hosting me on panel #SriLankaCrisis #RadioNews #PoliticalTalk @micmanipal,Thank you talk1003uae for hosting me on panel SriLankaCrisis RadioNews PoliticalTalk micmanipal,POSITIVE,0.9933424592018127
28,28,2022-07-15 17:24:52+00:00,soysa007,"Who would you choose to be the next president of The Democratic Socialist Republic of Sri Lanka 🇱🇰 ?

🚨🚨🚨

#lka #srilanka #srilankacrisis #SriLankanpoliticalcrisis",Who would you choose to be the next president of The Democratic Socialist Republic of Sri Lanka lka srilanka srilankacrisis SriLankanpoliticalcrisis,NEGATIVE,0.7197327017784119
29,29,2022-07-15 17:14:59+00:00,editor_Ishwar,"No petrol, no diesel, people occupied Rashtrapati Bhavan, how will Asia Cup 2022 be like this! #SriLankaProtests #SriLankanpoliticalcrisis",No petrol no diesel people occupied Rashtrapati Bhavan how will Asia Cup 2022 be like this SriLankaProtests SriLankanpoliticalcrisis,NEGATIVE,0.9891101717948914
30,30,2022-07-15 17:11:44+00:00,PrabodOfficial,"I am contesting to be the President. Electorate is confined to 225 MPs with the GR coalition dominating the numbers. Even though it is an uphill struggle I am convinced that truth will prevail - @sajithpremadasa.
#lka #SriLankaCrisis",I am contesting to be the President Electorate is confined to 225 MPs with the GR coalition dominating the numbers Even though it is an uphill struggle I am convinced that truth will prevail sajithpremadasa lka SriLankaCrisis,NEGATIVE,0.9837746620178223
31,31,2022-07-15 17:08:20+00:00,CitizenSL1,"Sri Lanka is the latest witness to the fact that countries that have taken racism into their hands have perished, Germany was destroyed by Hitler who embraced racism, Germany flourished when they abandoned racism and used knowledge #SriLankaProtests #SriLankaEconomicCrisis #lka",Sri Lanka is the latest witness to the fact that countries that have taken racism into their hands have perished Germany was destroyed by Hitler who embraced racism Germany flourished when they abandoned racism and used knowledge SriLankaProtests SriLankaEconomicCrisis lka,POSITIVE,0.9925022125244141
32,32,2022-07-15 17:07:48+00:00,GrimesTweet,"What a Strange Coincidence,
When Ayodhya is being Reconstructed Lanka is Burning.

#SriLankaProtests #SriLankaEconomicCrisis",What a Strange Coincidence When Ayodhya is being Reconstructed Lanka is Burning SriLankaProtests SriLankaEconomicCrisis,NEGATIVE,0.9865830540657043
33,33,2022-07-15 17:04:05+00:00,Becca__jp,"‼️“I am contesting to be the President”

- Opposition Leader @sajithpremadasa 

#lka #SriLanka #SriLankaProtests #ProtestsLK #SriLankaEconomicCrisis #SriLankaCrisis",I am contesting to be the President Opposition Leader sajithpremadasa lka SriLanka SriLankaProtests ProtestsLK SriLankaEconomicCrisis SriLankaCrisis,NEGATIVE,0.9958423972129822
34,34,2022-07-15 16:50:32+00:00,ndtv,"#SriLankaCrisis | ""I am contesting to be the President... Even though it is an uphill struggle I am convinced that truth will prevail,"" tweets Leader of Opposition @sajithpremadasa",SriLankaCrisis I am contesting to be the President Even though it is an uphill struggle I am convinced that truth will prevail tweets Leader of Opposition sajithpremadasa,NEGATIVE,0.8685404062271118
35,35,2022-07-15 16:44:55+00:00,ChamiraAthauda,"RW is a Kissinger inspired 'realpolitik' ghoul. 

He will drive a wedge between the class division that has started to appear in the support for the Aragalaya - where the majority want social justice &amp; the middle classes want to afford cheese again.

1/2

#GoHomeGota",RW is a Kissinger inspired realpolitik ghoul He will drive a wedge between the class division that has started to appear in the support for the Aragalaya where the majority want social justice amp the middle classes want to afford cheese again 1 2 GoHomeGota,POSITIVE,0.9976465106010437
36,36,2022-07-15 16:42:20+00:00,laksirisamitha,"A person from nowhere became the president of #SriLanka . 🤷🏻‍♂️ 

#SriLankaProtests #GoHomeGota #GoHomeRanil",A person from nowhere became the president of SriLanka SriLankaProtests GoHomeGota GoHomeRanil,NEGATIVE,0.9952278137207031
